product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.3,6.8,755.9999,6.5,2.6341,0.6571,0.8106,289,287,99.31,2.01515E+12,2
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.4,3.5,717.3998,2.1,2.4824,0.2181,0.467,289,289,100,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.6,6.6,885.0997,5,3.0626,0.5169,0.719,289,289,100,2.01515E+12,3
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.5,5.5,624.9,5,2.2238,0.4172,0.6459,289,281,97.23,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.8,6.5,863.8001,5.7,2.9993,1.0295,1.0146,289,288,99.65,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002205,24/07/2002,1.7,6.7,914.4002,5,3.164,1.4287,1.1953,289,289,100,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.7,6.7,989.8997,5,3.4253,1.1593,1.0767,289,289,100,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.5,6.5,808.4998,5,2.8269,0.7148,0.8455,289,286,98.96,2.01515E+12,3.1
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.8,6.8,857.0002,6,2.9757,0.6977,0.8353,289,288,99.65,2.01515E+12,3.5
MCD15A3H,Lai_500m,A2002225,13/08/2002,1.5,6.8,904.2999,5.3,3.1291,0.9568,0.9782,289,289,100,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.6,5.2,662.3001,3.6,2.2917,0.1513,0.389,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.4,5,363.1999,4.6,2.1619,1.0263,1.0131,289,168,58.13,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.5,6.5,622.4001,6,2.2388,0.8614,0.9281,289,278,96.19,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.8,3.4,439.1,2.6,1.5353,0.1819,0.4265,289,286,98.96,2.01515E+12,1
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.2,3.1,501.3002,1.9,1.7346,0.1517,0.3895,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.9,2.1,369.0003,1.2,1.2768,0.0607,0.2465,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.6,1.5,257.9998,0.9,0.8927,0.0245,0.1565,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.5,1.2,228.8999,0.7,0.792,0.0218,0.1475,289,289,100,2.01515E+12,0.9
