product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.3,4.1,605.4999,3.8,2.1781,0.3462,0.5884,289,278,96.19,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.8,6.1,621.5002,5.3,2.2437,0.5418,0.7361,289,277,95.85,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.5,4.4,377,3.9,1.5579,0.4764,0.6902,289,242,83.74,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.3,5.7,487.4999,5.4,1.8822,0.5475,0.7399,289,259,89.62,2.01515E+12,2
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.1,4.6,620.2997,3.5,2.2313,0.4288,0.6548,289,278,96.19,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,3.7,477.5998,3.2,1.7242,0.2255,0.4749,289,277,95.85,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.4,3.7,330.0001,3.3,1.4474,0.3074,0.5544,289,228,78.89,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.9,4.2,592.8001,3.3,2.1324,0.3448,0.5872,289,278,96.19,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.4,4,383.8999,3.6,1.4378,0.2261,0.4755,289,267,92.39,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,3.3,308.9998,3.1,1.2213,0.4297,0.6555,289,253,87.54,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.5,5.2,557.4,4.7,2.005,0.4151,0.6443,289,278,96.19,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,2,338.7001,1.5,1.2227,0.0723,0.2689,289,277,95.85,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.3,3,467.9,2.7,1.7015,0.2814,0.5305,289,275,95.16,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.6,2.5,351.3001,1.9,1.2637,0.1253,0.354,289,278,96.19,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.6,2.4,349.4,1.8,1.2568,0.1361,0.3689,289,278,96.19,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.6,2.1,354.1998,1.5,1.2741,0.0929,0.3047,289,278,96.19,2.01515E+12,1
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.6,2.3,312.7,1.7,1.1248,0.0747,0.2733,289,278,96.19,2.01515E+12,1
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,2.3,277.3,2,0.9975,0.0911,0.3018,289,278,96.19,2.01515E+12,1
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,1,42.1,0.9,0.2807,0.035,0.1872,289,150,51.9,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.5,1.9,278.6999,1.4,1.0025,0.0745,0.2729,289,278,96.19,2.01515E+12,1
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.3,1.5,245.7001,1.2,0.8838,0.0786,0.2803,289,278,96.19,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.3,1.3,213.9,1,0.7694,0.0661,0.2571,289,278,96.19,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.3,1.4,200.9,1.1,0.7227,0.0668,0.2584,289,278,96.19,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.2,1.1,175.0998,0.9,0.6414,0.0316,0.1777,289,273,94.46,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,2.2,125.1,2.1,0.4685,0.0687,0.2622,289,267,92.39,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002289,16/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002293,20/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002297,24/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002309,05/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002313,09/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002321,17/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002325,21/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002333,29/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002337,03/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002341,07/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002345,11/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002349,15/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002361,27/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002365,31/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003001,01/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003005,05/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003009,09/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003013,13/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003017,17/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003021,21/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003025,25/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003029,29/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003033,02/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003037,06/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003041,10/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003045,14/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003049,18/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003053,22/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003057,26/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003061,02/03/2003,0.1,0.8,9,0.7,0.1429,0.0193,0.1388,289,63,21.8,2.01516E+12,F
MCD15A3H,Lai_500m,A2003065,06/03/2003,0.1,0.9,14.6,0.8,0.2355,0.0355,0.1885,289,62,21.45,2.01516E+12,F
MCD15A3H,Lai_500m,A2003069,10/03/2003,0.1,1.4,20.3,1.3,0.3172,0.1239,0.352,289,64,22.15,2.01516E+12,F
MCD15A3H,Lai_500m,A2003073,14/03/2003,0.1,0.9,15,0.8,0.1765,0.0291,0.1706,289,85,29.41,2.01516E+12,F
MCD15A3H,Lai_500m,A2003077,18/03/2003,0.1,0.9,19.6,0.8,0.2253,0.0396,0.199,289,87,30.1,2.01516E+12,F
MCD15A3H,Lai_500m,A2003081,22/03/2003,0.1,1.3,7.9,1.2,0.316,0.1373,0.3706,289,25,8.65,2.01516E+12,F
MCD15A3H,Lai_500m,A2003085,26/03/2003,0.1,1.2,14.1,1.1,0.239,0.0712,0.2668,289,59,20.42,2.01516E+12,F
MCD15A3H,Lai_500m,A2003089,30/03/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003093,03/04/2003,0.1,0.9,6.5,0.8,0.2167,0.0547,0.2339,289,30,10.38,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003097,07/04/2003,0.1,0.4,3.1,0.3,0.1476,0.0082,0.0906,289,21,7.27,2.01516E+12,F
MCD15A3H,Lai_500m,A2003101,11/04/2003,0.1,0.3,5.2,0.2,0.1182,0.0024,0.049,289,44,15.22,2.01516E+12,F
MCD15A3H,Lai_500m,A2003105,15/04/2003,0.1,0.9,14.8,0.8,0.1827,0.0237,0.1538,289,81,28.03,2.01516E+12,F
MCD15A3H,Lai_500m,A2003109,19/04/2003,0.1,0.6,40.8,0.5,0.2061,0.0101,0.1003,289,198,68.51,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003113,23/04/2003,0.2,1.2,212.5,1,0.7671,0.045,0.2122,289,277,95.85,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003117,27/04/2003,0.3,1.4,242.9999,1.1,0.8741,0.0679,0.2606,289,278,96.19,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003121,01/05/2003,0.1,1.6,70.1,1.5,0.4673,0.1007,0.3174,289,150,51.9,2.01516E+12,F
MCD15A3H,Lai_500m,A2003125,05/05/2003,0.1,1.6,274.1,1.5,0.9895,0.0829,0.2879,289,277,95.85,2.01516E+12,1
MCD15A3H,Lai_500m,A2003129,09/05/2003,0.5,1.7,306.0999,1.2,1.1011,0.0661,0.2571,289,278,96.19,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003133,13/05/2003,0.5,1.6,304.7,1.1,1.096,0.0748,0.2734,289,278,96.19,2.01516E+12,1
MCD15A3H,Lai_500m,A2003137,17/05/2003,0.5,1.9,339.3001,1.4,1.2205,0.0765,0.2766,289,278,96.19,2.01516E+12,1.1
MCD15A3H,Lai_500m,A2003141,21/05/2003,0.6,1.7,337.4001,1.1,1.2137,0.0693,0.2633,289,278,96.19,2.01516E+12,1.3
MCD15A3H,Lai_500m,A2003145,25/05/2003,0.7,2.4,369.1002,1.7,1.3277,0.0727,0.2695,289,278,96.19,2.01516E+12,1.3
MCD15A3H,Lai_500m,A2003149,29/05/2003,0.2,2.4,307.8,2.2,1.1316,0.1387,0.3724,289,272,94.12,2.01516E+12,1.3
MCD15A3H,Lai_500m,A2003153,02/06/2003,0.7,2.9,393.4002,2.2,1.4463,0.1254,0.3541,289,272,94.12,2.01516E+12,1.3
